,text,stars
0,"['start', 'I was disappointed to open the package to find 60 individual pods thrown into a large unmarked white box. This product contains the old version of the pods and unlike the description, does not contain 6 boxes of 10. I tried to return the item, but the item is not eligible for return, apparently because it is a third party seller. Note that the product does not match the appearance of the same k kups sold in stores and certainly does not taste like the store version. Perhaps this is because this is the older packaging and product and the coffee is no longer fresh.', ""Not as advertised. I was supposed to receive 6 boxes with 10 pods each of Portside Blend. Instead I received a solid white box with loose pods saying Signature Blend #3. From what I read, this is the 'old' version of Portside Blend. So I'm assuming this is a way to get rid of old inventory...the expiration date must be on the true Seattle's Blend box as there is nothing on the box or the pod. Very disappointed in the description versus what was received."", 'I received my order of 60 Seattles best k cups today and so far I am very disappointed. Out of the first box of 10 cups all have failed and make a mess of grounds to clean up, every cup fails to complete the brew cycle and I get the error message to perform needle maintenance.\nfeel like I got ripped off, I can understand maybe 1 out of a hundred failing but the first 10 all failed, I love the coffee but this is not right.', ""Normally this is my favorite coffee in the world! So this review is NOT about Seattle's Best. It's about the expiration date on the cartons. Four months remaining. I really wish this coffee was shipped to me fresher! I have 60 K-Cups of this coffee now, and I can only hope the coffee will still taste good when I get to the last of it. We normally keep a half dozen brands and roasts in the house at any given time. So this won't get consumed in 30-60 days. It expires this December (2018). The coffee was shipped in one carton with 6 boxes of ten inside. I was so excited to get such a good deal on a hard-to-find coffee, but now it all makes sense. It's old stock. Amazon seems to be doing this a lot lately. Drink up and shut up, the wife says. But come on, Amazon!"", ""While the coffee taste great, these cups are not SEALED PROPERLY! I made a few cups of coffee (thinking I made an error) while the grounds exploded all over while brewing! Nope, the cup itself is crap! Such a disappointment, I threw the rest away. Not worth your time or money to clean up this mess! You can see the hazelnut cup compared to a Starbucks one and the difference in the seal and 'air pressure'."", ""We've been Seattles Best House Blend users for a long time. The majority of the pods in this carton were defective - probably 80% of them ran grounds into the cup, along with the oil and all the yuk when you boil coffee grounds. It wasn't the coffee maker since many other brands didn't do this. I missed my return date to Amazon and contacted Seattles Best, who put it all back on Amazon.\n\nI've ordered again, and the coffee so far in the next carton is ok, but beware that this could happen to anyone, and Seattles Best only offered a coupon toward my next purchase, which, of course, isn't good at Amazon. Live and learn, and always read the reviews!"", 'We drink a lot of coffee. This particular brand has a serious issue with bursting open during use. I added photos to show what I’m referencing. I will not be ordering this product again. It’s the only k cup I’ve had issues with. Too bad because it’s the best hazelnut flavor. I purchased 6 boxes and o. average about 6 out of 10 that have this issue per box.', ""These pods are defective. My new Keurig stops half way through and clogs up. I don't have a problem with other pods. They also split where the needle enters. Again, other brands do not do this. The coffee itself I like. This company has a no return policy!!!! I will do a better job of checking on return policies in the future. Now I realize that this was probably the problem I had with my old machine. I through it out and bought a new one for nothing!!"", 'These do not work in my keurig they Make the keurig day water under pressure , this doesn’t happen with any other kcups bought from a store but for some reason if purchased on amazon kcups do not work. However , amazon didn’t even need a return and they are refunding all of our money for this item which is much appreciated especially as a loyal amazon customer.', ""For one week I have tried to use these K Cups every morning to brew my first cup of coffee and without exception the K-cups fail and pour coffee grounds into my coffee. This morning I threw the remaining K Cups in the garbage and used my husband's Tully's French Roast which work every time. Amazon I am very disappointed and I would like to be compensated for very poor quality of these K cups.""]",1
1,['start'],1
2,"['start', 'I had high expatations and was extremely underwhelmed. And I bought several thinking I would love it. This coffee has disappointed my husband and I and has been placed in the graveyard of bad coffee. Years ago, I could rely on Yuban to be consistently good. Now, even the most expensive, which I have tried, have been tasteless and weak. Even using more scoops doesn’t solve the problem. Sorry to give it a bad rating. We’re usually happy with Amazon products. Not in this case.....', 'When opened the coffee dispersed a smell similar to rotting grain; sort of a smokey-musty-sour aroma that quikly invaded my nostrils, and cast a pall over the cookimg in-progress. Still, brewing is the real test. Measured and ran the brew thru our Ninja standard brew cycle. The strange aroma Was present as you sniffed the cup and had embedded in the flavor as we sipped.\n\nWe rebrewed with our normal Columbian grounds and relegated the amazon grounds to flower garden.\n\nVery poor representative of the Amazon brand. BTW the packaging was difficult to pry open.', ""I like the coffee just fine, but the state I received my bags in is pretty gross. Something must have spilled on them in the warehouse (the outside of the box is unaffected) and they boxed it up anyway. It's covered in an unknown sticky goop. I'm a little grossed out."", 'Was getting flu-like symptoms and severe fatigue. Traced it to the coffee having mold. Might be common, might not, but people should be aware. Will NOT be trying again.', ""I don't think even juan valdez's burro would give this a good rating. Never brewed sawdust before but... Probably will cut another coffee with this that is a bit too strong for my tastes and save some money, because the price is it's only selling point. Wont buy again."", 'As a self appointed coffee snob I dislike this immensely. Its folgers or other bulk trash coffee brands in a nice package. Thats it. You get what you pay for. I splurge on Peets and Philz and buy ground coffee weekly, this is not even close to gourmet coffee but its cheap.', 'I did not like this coffee at all. I cherish my first cup of coffee every morning. I was so disappointed. In my opinion, the coffee grounds were too coarse for an electric coffee maker and so the subsequent brew was very mild. Even when I ground the mix again and increased the amount to brew, I was disappointed. The flavor was stronger, but also very bitter. The grounds are full of tailings, possible giving the first clue that the flavor would not be as robust as advertised. No, I would not recommend this coffee to anyone who expects a good, robust cup of coffee first thing in the morning.', 'Ive tired this brand in kpods and was hoping for the same quality. No matter how little or how much coffee grounds you add to coffee machine your cup of coffee come out tasting extremely bitter. Not a fan.', ""I used the recommended serving for a 6 ounce cup, produced a very light color and tasteless cup of coffee. I give things a try, this one did not make it to my buy again list, and I will not serve it to friends, I will use it up over time .. it's paid for so I have to use it. Shame, if it lived to the ads promo we could have a long time thing."", 'If you like hot water that smells like ash trays, buy this coffee. Everyone else should steer clear.']",1
3,"['start', 'Peet’s is good coffee when fresh but the pack I bought from Amazon was OLD. “Freshest by” date expired MONTHS AGO.', 'Ridiculously short “best by date.” Received package on December 4, and it’s “best by date” is December 26. Yes, that’s right, only 3 weeks. Cannot recommend. Coffee tastes stale.', 'Ordered the coffee on prime day 7/17/18 and received on 7/19/18. The bag I got said best by date is 7/25/18 and brewed on date is 4/16/18, very disappointed to receive coffee that will expire 6 days after received. One of the reasons I won’t be renewing my prime membership.', 'Received the coffee 8 months past the ""freshest by"" date stamped on the front of the package!\nIt is a good coffee, if it is fresh. As other also pointed out, shame on Amazon for not purging old stock.\nI wonder how Jeff Bezos would feel if he was served old product at a board meeting?\n\nI immediately contacted Amazon and they did issue me a refund.', 'Received both my bags of coffee, however they must think customers do not look at expiration dates as both bags say they expire soon which is disappointing! Cannot detect any fresh smell from either bag.', 'I ORDERED FRENCH ROAST. IT IS ACIDY AND BIDER WITH AN ODD FLAVOR. AFTER LOOKING AT THE BAG CLOSELY, I SAW WOOD SMOKE AND BURNT CARMEL ADDITIONS. THEY WERE NOT EASY TO SEE. THE COFFEE IS VERY BITTER. I ALSO NOTICED THE EXPIRATION DATE WAS VERY CLOSE. I AM MIXING IT WITH OTHER COFFEES I HAVE AND WILL BE GLAD WHEN IT IS GONE OR I WILL JUST THHROW IT OUT. NO MORE PETES COFFEE.', 'This tastes like stale, supermarket brand coffee or what you find in your cup at a diner. Not all what I know Peet’s to be. Think ransid decaf but it’s not decaf. Such a disappointment. Returning for refund. Will stick with my usual vendor for authentic Peet’s coffee.', ""Very disappointed before I opened a package. I ordered 2 packages; Received them on Apr 1, 2018 one has a freshness date of Apr 5, 2018.\nSeems very UN customer friendly to send a package that is 4 days from its freshness date. The other package, I have hopes for - it's dated May 5, 2018 so I will have a month to see how it is before it is beyond it's freshness date.\nVery, Very disappointing"", 'Product expired 12/20/17; arrived two days after expiry. I guess I am the sucker for subscribing instead of buying these at a grocery store', 'After brewing a pot, I noticed this Peet\'s tasted a little ""off"" so I took a look at the bag and noticed it\'s OLD. Roasted way back on July 5th. Today is October 1. It also looks like the ""fresh by"" date is sort of rubbed off (see photo) although I think I can make out 10/05/18... but who knows. Anyway, I won\'t be buying coffee from Amazon anymore.']",1
4,['start'],1
5,"['start', 'I had high expatations and was extremely underwhelmed. And I bought several thinking I would love it. This coffee has disappointed my husband and I and has been placed in the graveyard of bad coffee. Years ago, I could rely on Yuban to be consistently good. Now, even the most expensive, which I have tried, have been tasteless and weak. Even using more scoops doesn’t solve the problem. Sorry to give it a bad rating. We’re usually happy with Amazon products. Not in this case.....', 'When opened the coffee dispersed a smell similar to rotting grain; sort of a smokey-musty-sour aroma that quikly invaded my nostrils, and cast a pall over the cookimg in-progress. Still, brewing is the real test. Measured and ran the brew thru our Ninja standard brew cycle. The strange aroma Was present as you sniffed the cup and had embedded in the flavor as we sipped.\n\nWe rebrewed with our normal Columbian grounds and relegated the amazon grounds to flower garden.\n\nVery poor representative of the Amazon brand. BTW the packaging was difficult to pry open.', ""I like the coffee just fine, but the state I received my bags in is pretty gross. Something must have spilled on them in the warehouse (the outside of the box is unaffected) and they boxed it up anyway. It's covered in an unknown sticky goop. I'm a little grossed out."", 'Was getting flu-like symptoms and severe fatigue. Traced it to the coffee having mold. Might be common, might not, but people should be aware. Will NOT be trying again.', ""I don't think even juan valdez's burro would give this a good rating. Never brewed sawdust before but... Probably will cut another coffee with this that is a bit too strong for my tastes and save some money, because the price is it's only selling point. Wont buy again."", 'As a self appointed coffee snob I dislike this immensely. Its folgers or other bulk trash coffee brands in a nice package. Thats it. You get what you pay for. I splurge on Peets and Philz and buy ground coffee weekly, this is not even close to gourmet coffee but its cheap.', 'I did not like this coffee at all. I cherish my first cup of coffee every morning. I was so disappointed. In my opinion, the coffee grounds were too coarse for an electric coffee maker and so the subsequent brew was very mild. Even when I ground the mix again and increased the amount to brew, I was disappointed. The flavor was stronger, but also very bitter. The grounds are full of tailings, possible giving the first clue that the flavor would not be as robust as advertised. No, I would not recommend this coffee to anyone who expects a good, robust cup of coffee first thing in the morning.', 'Ive tired this brand in kpods and was hoping for the same quality. No matter how little or how much coffee grounds you add to coffee machine your cup of coffee come out tasting extremely bitter. Not a fan.', ""I used the recommended serving for a 6 ounce cup, produced a very light color and tasteless cup of coffee. I give things a try, this one did not make it to my buy again list, and I will not serve it to friends, I will use it up over time .. it's paid for so I have to use it. Shame, if it lived to the ads promo we could have a long time thing."", 'If you like hot water that smells like ash trays, buy this coffee. Everyone else should steer clear.']",1
6,"['start', 'Because of health issues, I decided to order my favorite coffee from Amazon. I opened the package today, and was surprised that the wonderful usual smell of the coffee was missing. I smelled inside the package and there was a weak, bitter smell. I was out of coffee so I made a cup anyway....the coffee in my cup smelled and tasted bitter and old. This hasn\'t happened to me in years, and I hadn\'t realized what the smell and taste of my morning coffee does for my mood every day. I\'m extremely disappointed, and will add ""coffee"" to the list of products I will not be purchasing from Amazon in future.', 'I’ve been purchasing this brand/flavor in my local grocery store for over six months. I really love it. The smell & taste satisfy me. I decided to purchase 3 packs of this off of Amazon because I was lazy and didn’t want to go to the store. When I opened the first pack I noticed the normal aroma was missing. Me no biggy, I’ll try it anyway. Mistake! It tastes awful. Like bitter and old. I made a new batch just in case. Nope still gross! I’ll be returning the two packages I unopened. Save yourself the time and just buy from your local store. :/', ""So like other reviewers have mentioned, this coffee is packaged as Starbucks coffee (I bought breakfast blend), but it doesn't smell or taste anything like what I've had in the past.\n\nGranted, I haven't had Starbucks in a while as I've been using Pete's and beans from a local roaster. So either:\n1) Starbucks is just this bad and I forgot; 2) it's terribly stale (but the date is not expired!); or 3) it isn't Starbucks. It seriously tastes like Folgers, I'm not even exaggerating.\n\nAnother reviewer stated that the Starbucks Stars reward program (which I don't belong to) had already been used on her package---I'm not a conspiracy theory nut but perhaps Amazon should look into their supplier more closely, because this was procured from Amazon.com Services.\n\nI can't speak for other varieties, but the Breakfast Blend is bad coffee...stay away."", ""I usually love Italian Roast but the beans in this bag were obviously burned but still packaged and sold. The burned smell was really strong as soon as we opened the bag. I tried brewing a pot just to see if maybe it'll disappear but it didn't and the coffee was undrinkable.\nBecause we purchased a few bags in advance, we opened this particular one 2 months after it arrived and were not able to return it, hence the negative review."", ""I first discovered Verona blend coffee many years ago and loved it. It was a rich dark roast blend with chocolate overtones. I used to buy it regularly from Starbucks and it was fabulous..\n\nBut this stuff is so bad I had to throw it out!. The flavor is insipid, bitter and just plain disgusting. It also seems to be very stale. Try a bag of Verona directly from the source and you'll at least get a fresh batch. This crap is vile!"", ""No metal closing strip! 28 ounces will last me awhile but I can't securely close with just the small piece of tape included. Will certainly get stale!"", 'Item was listed as a 6 pack, description even indicated that there would be 6 bags included with this order. I received the product today and there was only 1 bag.\n\nThe title is now fixed but I had a screenshot of my order that shows it was suppose to 6 bags. I wouldn’t have bought this particular flavor if I didn’t think I was getting a deal.', ""I bought 2 bags of Caffe Verona and noticed that when I opened it didn't smell like good like this brand usually smells when I open it up. When I had brewed my coffee it didn't taste good, it had a odd taste to it as well as tasting old, bitter and somewhat sour. I decided to try it again the next couple of days and the taste was still bad. I opened the 2nd bag today and it's just as bad. I will NOT buy coffee from Amazon again....I'll stick to buying from the store so I can have a descent cup of Caffe Verona. YUCK !!!"", 'This coffee arrived Tuesday & expires on Thursday! I ordered 3 bags & they are expired! I am very disappointed.', 'product description:\nStarbucks Medium Roast Ground Coffee — Breakfast Blend — 100% Arabica — 6 bags (12 oz. each)\n\nwhat I received:\nOne (1) twenty-ounce (20oz) bag\n\nNOW THIS IS DECEITFUL ADVERTISING----IT WAS NOT WHAT I WAS EXPECTING !! Hello? anyone listening?']",1
7,['start'],1
8,['start'],1
9,"['start', ""I REALLY love the dark roast coffee of Amazon's, but this Hazelnut flavored coffee is disgusting. I can't even drink it (and I really didn't think I was picky). It has a great smell, but the flavor is just wrong. I don't like this and will not be ordering again."", ""Initially, it smells good on opening, but not great. There is a faint smell of hazelnut. Then you brew it. The hazlenut smell is replaced with a repugnant chemical smell, like machine oil. The taste, machine oil, bitter and sour with hints of....corn(?). It's pretty much undrinkable. Very disgusted and disappointed, especially since this was a gift. For a couple dollars more, the supermarket coffee is waaaaay superior. Steer clear of this one!"", 'This coffee tastes horrible. I’ve never been a fan of flavored coffee and this reminds me of why. It’s like they take to worst of the lot and throw some flavoring in it. It’s bitter and lacks any real depth. I purchased the French vanilla and prepared it with a large stainless steel French press coffee pot. If you like cream and sugar in your coffee, it is pretty good with cream and sugar. Of course, what isn’t good with cream and sugar!', 'I found this to be very disappointing. Coffee had no hazelnut flavor, in fact it took 4 scoops to get any flavor out of the coffee. I find that flavored coffees that are of quality have a bit of moisture to them, this had no moisture and was very dry.', ""Well. Where to begin. The flavor was borderline and had an odd nasty acidic after taste. It also gave me heartburn. This is the first decaf coffee to give me heartburn. Happened with every batch I made. I'm going to throw the remaining coffee in the compost in the spring. I'm certainly not going to drink anymore."", 'This is probably the first coffee I have ever drank and not been able to finish. Really bummed but it smelled amazing and tasted not so great. After making it weaker I was able to drink it', 'Like many others, when you open the Hazelnut coffee you feel like your in heaven, when you drink it your immediately sent down to purgatory. Tastes pretty bad, almost bitter and stale. Stick to the French Vanilla or another brand.', 'Coffee tasted old, like it had been sitting around for a long time. No flavor', ""Coffee was nasty .It had a strange after taste. Plus it didn't taste anything lie Hazelnut. Don't waste your money. Buy Dunkin instead. Yuk"", ""Tastes burnt. Really not sure what to do with it because I can't drink it. I tried giving it away but none of my friend it either.""]",1
